Method	Access Modifier	Unsafe

"<org.apache.hadoop.crypto.random.OpensslSecureRandom: void <init>()>"	PUBLIC	Yes



"<org.apache.hadoop.fs.LocalDirAllocator$AllocatorPerContext: org.apache.hadoop.fs.Path getLocalPathForWrite(java.lang.String,long,org.apache.hadoop.conf.Configuration,boolean)>"	PUBLIC	Yes
"<org.apache.hadoop.fs.LocalDirAllocator: org.apache.hadoop.fs.Path getLocalPathForWrite(java.lang.String,long,org.apache.hadoop.conf.Configuration,boolean)>"	PUBLIC	Yes
"<org.apache.hadoop.fs.LocalDirAllocator$AllocatorPerContext: java.io.File createTmpFileForWrite(java.lang.String,long,org.apache.hadoop.conf.Configuration)>"	PUBLIC	Yes
"<org.apache.hadoop.fs.LocalDirAllocator: org.apache.hadoop.fs.Path getLocalPathForWrite(java.lang.String,long,org.apache.hadoop.conf.Configuration)>"	PUBLIC	Yes
"<org.apache.hadoop.fs.LocalDirAllocator: java.io.File createTmpFileForWrite(java.lang.String,long,org.apache.hadoop.conf.Configuration)>"	PUBLIC	Yes
"<org.apache.hadoop.fs.LocalDirAllocator: org.apache.hadoop.fs.Path getLocalPathForWrite(java.lang.String,org.apache.hadoop.conf.Configuration)>"	PUBLIC	Yes
"<org.apache.hadoop.io.SequenceFile$Sorter: org.apache.hadoop.io.SequenceFile$Sorter$RawKeyValueIterator merge(java.util.List,org.apache.hadoop.fs.Path)>"	PUBLIC	Yes
"<org.apache.hadoop.io.SequenceFile$Sorter: org.apache.hadoop.io.SequenceFile$Sorter$RawKeyValueIterator merge(org.apache.hadoop.fs.Path[],boolean,int,org.apache.hadoop.fs.Path)>"	PUBLIC	Yes
"<org.apache.hadoop.io.SequenceFile$Sorter: org.apache.hadoop.io.SequenceFile$Sorter$RawKeyValueIterator merge(org.apache.hadoop.fs.Path[],org.apache.hadoop.fs.Path,boolean)>"	PUBLIC	Yes
"<org.apache.hadoop.io.SequenceFile$Sorter: org.apache.hadoop.io.SequenceFile$Sorter$RawKeyValueIterator sortAndIterate(org.apache.hadoop.fs.Path[],org.apache.hadoop.fs.Path,boolean)>"	PUBLIC	Yes


"<org.apache.hadoop.crypto.random.OsSecureRandom: void <init>()>"	PUBLIC	Yes

"<org.apache.hadoop.ipc.Client: org.apache.hadoop.io.Writable call(org.apache.hadoop.ipc.RPC$RpcKind,org.apache.hadoop.io.Writable,org.apache.hadoop.ipc.Client$ConnectionId,java.util.concurrent.atomic.AtomicBoolean)>"	PUBLIC	Yes
